year,month,temp_c,co2_ppm,ch4_ppb,solar_wm2,co2_emissions_mt,months_elapsed,co2_growth,ch4_growth,co2_ma12,ch4_ma12,solar_anomaly,log_emissions
1991,9,0.44,352.34,1726.06,1360.654960494259,23205.592,104,-1.6300000000000523,6.9099999999998545,355.5133333333333,1721.5375000000001,-0.3510704985412758,10.052191655225899
1991,10,0.29,352.43,1732.7,1360.6725696330273,23205.592,105,0.09000000000003183,6.6400000000001,355.57500000000005,1722.4275,-0.3334613597730822,10.052191655225899
1991,11,0.29,353.89,1737.45,1360.6909205068896,23205.592,106,1.4599999999999795,4.75,355.6375,1723.5925,-0.3151104859107363,10.052191655225899
1991,12,0.32,355.21,1739.54,1360.7099715452143,23205.592,107,1.3199999999999932,2.089999999999918,355.70416666666665,1724.9458333333332,-0.29605944758600344,10.052191655225899
1992,1,0.47,356.34,1738.92,1360.729679591272,22520.424,108,1.1299999999999955,-0.6199999999998909,355.82166666666666,1726.3841666666667,-0.27635140152824533,10.022222312936584
1992,2,0.4,357.21,1737.32,1360.75,22520.424,109,0.8700000000000045,-1.6000000000001364,355.9375,1727.7183333333332,-0.2560309928003335,10.022222312936584
1992,3,0.48,357.97,1736.79,1360.7708867391364,22520.424,110,0.7600000000000477,-0.5299999999999727,355.99083333333334,1728.9433333333334,-0.23514425366397518,10.022222312936584
1992,4,0.27,359.22,1736.65,1360.792292493499,22520.424,111,1.25,-0.13999999999987267,356.02833333333336,1730.1274999999998,-0.21373849930137112,10.022222312936584
1992,5,0.31,359.71,1735.05,1360.8141687721698,22520.424,112,0.48999999999995225,-1.6000000000001364,356.0683333333333,1731.2050000000002,-0.19186222063058267,10.022222312936584
1992,6,0.25,359.44,1731.58,1360.8364660183413,22520.424,113,-0.2699999999999818,-3.4700000000000273,356.1691666666666,1732.2641666666666,-0.1695649744590355,10.022222312936584
1992,7,0.09,357.15,1728.8,1360.8591337215794,22520.424,114,-2.2900000000000205,-2.7799999999999727,356.24,1733.3341666666665,-0.14689727122095064,10.022222312936584
1992,8,0.08,354.99,1730.33,1360.8821205322454,22520.424,115,-2.159999999999968,1.5299999999999727,356.325,1734.2658333333336,-0.1239104605549528,10.022222312936584
1992,9,-0.01,353.01,1734.59,1360.9053743778197,22520.424,116,-1.9800000000000182,4.259999999999991,356.3808333333333,1734.9766666666667,-0.10065661498060763,10.022222312936584
1992,10,0.06,353.4,1737.68,1360.9288425808634,22520.424,117,0.38999999999998636,3.0900000000001455,356.46166666666664,1735.3916666666667,-0.0771884119369588,10.022222312936584
1992,11,0.02,354.42,1739.23,1360.9524719783478,22520.424,118,1.0200000000000387,1.5499999999999545,356.5058333333333,1735.54,-0.053559014452503106,10.022222312936584
1992,12,0.21,355.68,1738.51,1360.9762090420882,22520.424,119,1.259999999999991,-0.7200000000000273,356.545,1735.4541666666667,-0.02982195071217575,10.022222312936584
1993,1,0.34,357.1,1735.77,1361.0,22749.873,120,1.420000000000016,-2.740000000000009,356.60833333333335,1735.1916666666666,-0.006030992800333479,10.032358797269222
1993,2,0.37,357.42,1734.37,1361.0237909579118,22749.873,121,0.3199999999999932,-1.400000000000091,356.62583333333333,1734.9458333333332,0.01775996511150879,10.032358797269222
1993,3,0.36,358.59,1735.38,1361.0475280216522,22749.873,122,1.169999999999959,1.0100000000002183,356.6775,1734.8283333333331,0.04149702885183615,10.032358797269222
1993,4,0.27,359.39,1736.59,1361.0711574191366,22749.873,123,0.8000000000000114,1.209999999999809,356.69166666666666,1734.8233333333335,0.06512642633629184,10.032358797269222
1993,5,0.28,360.3,1735.0,1361.0946256221803,22749.873,124,0.910000000000025,-1.5899999999999181,356.74083333333334,1734.8191666666664,0.08859462937994067,10.032358797269222
1993,6,0.22,359.64,1730.88,1361.1178794677546,22749.873,125,-0.660000000000025,-4.119999999999891,356.7575,1734.7608333333335,0.11184847495428585,10.032358797269222
1993,7,0.25,357.45,1728.01,1361.1408662784206,22749.873,126,-2.1899999999999977,-2.8700000000001182,356.7825,1734.695,0.13483528562028368,10.032358797269222
1993,8,0.11,355.76,1731.14,1361.1635339816587,22749.873,127,-1.6899999999999977,3.130000000000109,356.84666666666664,1734.7624999999998,0.15750298885836855,10.032358797269222
1993,9,0.11,354.14,1738.44,1361.1858312278302,22749.873,128,-1.6200000000000045,7.2999999999999545,356.94083333333333,1735.0833333333333,0.1798002350299157,10.032358797269222
1993,10,0.23,354.23,1743.38,1361.207707506501,22749.873,129,0.09000000000003183,4.940000000000055,357.01,1735.5583333333334,0.20167651370070416,10.032358797269222
1993,11,0.03,355.53,1745.22,1361.2291132608636,22749.873,130,1.2999999999999545,1.8399999999999181,357.10249999999996,1736.0575,0.22308226806330822,10.032358797269222
